Booking ID,Date of Booking,Customer ID,Gender,Age,Origin Country,Hotel Name,Hotel Rating,Booking Price[SGD],Discount
DDMY00001,1/1/2010,MY00001,Male,42,Malaysia,Hotel Triton,4.3, 243 ,1%
DDID00002,1/1/2010,ID00001,Female,44,Indonesia,Enchanted Isle,4.2, 312 ,0%
DDSG00003,1/1/2010,SG00001,Female,31,Singapore,Seacoast Hotel,4.5, 338 ,19%
DDSG00004,1/1/2010,SG00002,Male,28,Singapore,Night In Paradise,4.2, 254 ,19%
DDKH00005,1/1/2010,KH00001,Male,44,Cambodia,Tiny Digs Hotel,4.6, 313 ,15%
DDTH00006,1/1/2010,TH00001,Male,32,Thailand,Seascape,4.5, 161 ,1%
DDTH00007,1/1/2010,TH00002,Male,49,Thailand,Waldorf Astoria,4.6, 313 ,10%
DDMY00008,1/1/2010,MY00002,Female,58,Malaysia,The Westgate Hotel,4.1, 121 ,5%
DDSG00009,1/1/2010,SG00003,Male,57,Singapore,Firefly Motel,4.4, 173 ,20%
DDSG00010,1/1/2010,SG00004,Female,41,Singapore,Cape Grace,4.7, 309 ,16%
DDTH00011,1/1/2010,TH00003,Female,28,Thailand,Green Acres,4.2, 98 ,7%
DDMY00012,1/1/2010,MY00003,Male,40,Malaysia,The Empire Hotel,4.2, 146 ,1%
DDVN00013,1/1/2010,VN00001,Male,37,Vietnam,Small Town B&B,4.5, 253 ,17%
DDKH00014,1/1/2010,KH00002,Female,40,Cambodia,Hotel Fusion,4.5, 161 ,17%
DDKH00015,1/2/2010,KH00003,Male,51,Cambodia,The River Front Resort,4.4, 251 ,20%
DDVN00016,1/2/2010,VN00002,Female,25,Vietnam,Expedition,4.3, 162 ,6%
DDSG00017,1/2/2010,SG00005,Male,33,Singapore,Like Home Hotel,4.5, 253 ,20%
DDPH00018,1/2/2010,PH00001,Female,25,Philippines,Family Ties,4.4, 173 ,21%
DDMY00019,1/2/2010,MY00004,Female,33,Malaysia,Homewood Suites,4.3, 158 ,9%
DDSG00020,1/2/2010,SG00006,Female,31,Singapore,Hotel Emblem,4.1, 133 ,24%
DDSG00021,1/2/2010,SG00007,Female,32,Singapore,Voyage Resort,4.3, 125 ,8%
DDID00022,1/2/2010,ID00002,Female,36,Indonesia,Villa Florence,3.8, 93 ,9%
DDSG00023,1/2/2010,SG00008,Female,58,Singapore,Always Available,3.8, 99 ,15%
DDMY00024,1/2/2010,MY00005,Female,47,Malaysia,The Lodge at Sea Island,4.6, 222 ,20%
DDMY00025,1/2/2010,MY00006,Male,22,Malaysia,Enchanted Isle,4.3, 155 ,20%
DDMY00026,1/2/2010,MY00007,Female,58,Malaysia,Malibu Motel,4.6, 313 ,24%
DDMY00027,1/2/2010,MY00008,Male,30,Malaysia,Millennium Times Square,4.6, 222 ,6%
DDSG00028,1/2/2010,SG00009,Female,35,Singapore,Meadow Manor,3.8, 99 ,9%
DDMY00029,1/2/2010,MY00009,Male,52,Malaysia,Ace Hotel,4.6, 222 ,24%
DDID00030,1/2/2010,ID00003,Male,22,Indonesia,The Worldly Traveler,4.5, 329 ,2%
DDVN00031,1/2/2010,VN00003,Male,34,Vietnam,Cape Grace,4.4, 223 ,9%
DDTH00032,1/2/2010,TH00004,Female,26,Thailand,The Mississippi Hotel,4.4, 251 ,17%
DDVN00033,1/2/2010,VN00004,Male,27,Vietnam,AC Hotel,4.3, 125 ,20%
DDKH00034,1/2/2010,KH00004,Female,37,Cambodia,Adam Lake B&B,4.4, 173 ,13%
DDSG00035,1/3/2010,SG00010,Male,25,Singapore,Zzz Motel,4.5, 151 ,18%
DDID00036,1/3/2010,ID00004,Female,19,Indonesia,The Langham,3.8, 99 ,7%
DDTH00037,1/3/2010,TH00005,Female,22,Thailand,Happy Times Hotel,4.6, 333 ,9%
DDPH00038,1/3/2010,PH00002,Male,41,Philippines,Ebony Tropic Motel,4.5, 214 ,18%
DDPH00039,1/3/2010,PH00003,Male,42,Philippines,Harbor Hotel,4.2, 244 ,16%
DDSG00040,1/3/2010,SG00011,Female,20,Singapore,Acqualina Resort & Spa on the Beach,4.4, 97 ,12%
DDVN00041,1/3/2010,VN00005,Female,23,Vietnam,Dreamland Guest Home,3.9, 116 ,14%
DDID00042,1/3/2010,ID00005,Male,31,Indonesia,Park South Hotel,4.6, 428 ,11%
DDID00043,1/3/2010,ID00006,Female,42,Indonesia,Palm Bliss,4.1, 132 ,23%
DDKH00044,1/3/2010,KH00005,Male,35,Cambodia,The Harbor Hotel,4.1, 121 ,16%
DDPH00045,1/3/2010,PH00004,Female,54,Philippines,Stewart Hotel New York,4.4, 251 ,24%
DDVN00046,1/3/2010,VN00006,Male,22,Vietnam,Fun Palace Hotels,4.5, 136 ,22%
DDPH00047,1/3/2010,PH00005,Male,46,Philippines,Fairytale B&B,4.1, 162 ,21%
DDID00048,1/4/2010,ID00007,Male,34,Indonesia,Hotel Da Viva,4.6, 219 ,17%
DDPH00049,1/4/2010,PH00006,Male,35,Philippines,Five Star B&B,4.2, 312 ,10%
DDTH00050,1/4/2010,TH00006,Male,23,Thailand,Homefront B&B,4.6, 371 ,9%
DDSG00051,1/4/2010,SG00012,Male,58,Singapore,Green Tortoise Hostel,4.2, 98 ,1%
DDPH00052,1/4/2010,PH00007,Male,39,Philippines,Coast Hotels,4.2, 98 ,9%
DDTH00053,1/4/2010,TH00007,Female,58,Thailand,Holiday Hotel,4.2, 430 ,18%
DDSG00054,1/4/2010,SG00013,Female,52,Singapore,The River Front,3.7, 80 ,21%
DDMY00055,1/4/2010,MY00010,Female,32,Malaysia,Shilo Inns Rose Garden,4.3, 243 ,14%
DDID00056,1/5/2010,ID00008,Female,57,Indonesia,The Fresco Hotel,4.3, 115 ,12%
DDMY00057,1/5/2010,MY00011,Male,43,Malaysia,Pod 51 Hotel,4.6, 183 ,3%
DDID00058,1/5/2010,ID00009,Female,49,Indonesia,Motel Magic,4.6, 371 ,9%
DDPH00059,1/5/2010,PH00008,Male,34,Philippines,Four Seasons Resort Lanai,4.1, 121 ,23%
DDPH00060,1/5/2010,PH00009,Male,25,Philippines,Luxus Hotels,4.5, 253 ,4%
DDMY00061,1/5/2010,MY00012,Male,38,Malaysia,Homewood Suites,4.3, 125 ,14%
DDMY00062,1/5/2010,MY00013,Female,51,Malaysia,Cosmos Isle Motel,4.3, 243 ,0%
DDSG00063,1/5/2010,SG00014,Male,37,Singapore,Sunrise Cave,4.6, 219 ,15%
DDTH00064,1/5/2010,TH00008,Female,44,Thailand,Lexington,4.2, 430 ,18%
DDMY00065,1/6/2010,MY00014,Male,58,Malaysia,Noble Avenue B&B,4.1, 121 ,2%
DDID00066,1/6/2010,ID00010,Male,31,Indonesia,The Herbert Hotel,4.3, 145 ,20%
DDMY00067,1/6/2010,MY00015,Male,41,Malaysia,Beacon Hill Guest House,4.2, 213 ,24%
DDTH00068,1/6/2010,TH00009,Male,40,Thailand,Seascape,4.6, 291 ,13%
DDPH00069,1/6/2010,PH00010,Female,51,Philippines,Blossomwell Resorts,3.8, 98 ,18%
DDPH00070,1/6/2010,PH00011,Male,21,Philippines,Moonlight Motel,4.5, 136 ,19%
DDMY00071,1/6/2010,MY00016,Female,29,Malaysia,Premier Travel Inn,4.1, 133 ,5%
DDMY00072,1/6/2010,MY00017,Female,40,Malaysia,Paradise Motel,4.2, 430 ,11%
DDSG00073,1/6/2010,SG00015,Male,53,Singapore,Four Seasons Hotel Gresham Palace,4.5, 136 ,10%
DDSG00074,1/6/2010,SG00016,Male,54,Singapore,Big Dreams Hotel,4.6, 316 ,7%
DDID00075,1/6/2010,ID00011,Female,34,Indonesia,The River Front,4.4, 173 ,9%
DDMY00076,1/6/2010,MY00018,Male,26,Malaysia,Jade Bay Resort,4.6, 337 ,15%
DDMY00077,1/6/2010,MY00019,Female,54,Malaysia,The Huntington Hotel,4.4, 223 ,4%
DDID00078,1/6/2010,ID00012,Male,37,Indonesia,Relax Inn,4.5, 136 ,23%
DDKH00079,1/6/2010,KH00006,Male,29,Cambodia,Thompson,4.3, 198 ,22%
DDSG00080,1/7/2010,SG00017,Male,38,Singapore,Americana Hotel,4.4, 97 ,25%
DDPH00081,1/7/2010,PH00012,Male,28,Philippines,The Gregory Hotel,4.4, 97 ,10%
DDPH00082,1/7/2010,PH00013,Female,39,Philippines,The Harbor Hotel,4.6, 316 ,2%
DDKH00083,1/7/2010,KH00007,Female,39,Cambodia,Comfort Inn,4.7, 309 ,22%
DDSG00084,1/7/2010,SG00018,Male,24,Singapore,Blossomwell Resorts,4.6, 333 ,7%
DDTH00085,1/7/2010,TH00010,Female,52,Thailand,Four Points,4.1, 133 ,19%
DDTH00086,1/7/2010,TH00011,Female,19,Thailand,Jupiter Guests,4.4, 97 ,22%
DDTH00087,1/7/2010,TH00012,Male,43,Thailand,Hotel Epik,4.6, 318 ,8%
DDSG00088,1/7/2010,SG00019,Male,49,Singapore,Backyard B&B,3.8, 98 ,2%
DDSG00089,1/7/2010,SG00020,Female,28,Singapore,Count on us,4.6, 313 ,4%
DDSG00090,1/7/2010,SG00021,Male,22,Singapore,Hotel Agoura,4.1, 162 ,25%
DDSG00091,1/7/2010,SG00022,Female,29,Singapore,Residence Inn by Marriott,3.8, 99 ,14%
DDMY00092,1/7/2010,MY00020,Female,50,Malaysia,Quick Stop Hotel,4.2, 312 ,18%
DDPH00093,1/7/2010,PH00014,Male,36,Philippines,The Maxwell,4.6, 291 ,3%
DDID00094,1/7/2010,ID00013,Female,35,Indonesia,Americana Hotel,4.1, 121 ,9%
DDMY00095,1/8/2010,MY00021,Male,43,Malaysia,Interstellar Motel,4.4, 241 ,8%
DDTH00096,1/8/2010,TH00013,Female,46,Thailand,Roadside Motel,4.5, 136 ,1%
DDMY00097,1/8/2010,MY00022,Female,20,Malaysia,Emerald Bay Inn,4.6, 162 ,10%
DDMY00098,1/8/2010,MY00023,Female,20,Malaysia,Cosmopolitan Hotel,4.6, 417 ,17%
DDTH00099,1/8/2010,TH00014,Female,57,Thailand,Town and Country,4.1, 162 ,12%
DDKH00100,1/8/2010,KH00008,Female,55,Cambodia,The River Hotel,4.5, 214 ,19%
DDID00101,1/8/2010,ID00014,Female,32,Indonesia,Millennium Knickerbocker Hotel,4.2, 146 ,13%
DDTH00102,1/8/2010,TH00015,Female,26,Thailand,Palm Bliss,4.2, 154 ,5%
DDVN00103,1/8/2010,VN00007,Female,36,Vietnam,Quick Stop Hotel,4.2, 154 ,12%
DDID00104,1/8/2010,ID00015,Male,30,Indonesia,Expedition,4.1, 121 ,13%
DDID00105,1/8/2010,ID00016,Male,53,Indonesia,The Blue Vivid,3.8, 98 ,13%
DDID00106,1/8/2010,ID00017,Female,23,Indonesia,The Welcome Mat,4.3, 142 ,17%
DDTH00107,1/8/2010,TH00016,Female,49,Thailand,The Oasis Motels,4.6, 371 ,23%
DDID00108,1/9/2010,ID00018,Male,33,Indonesia,The Mosser Hotel,4.6, 303 ,13%
DDPH00109,1/9/2010,PH00015,Male,31,Philippines,Royal Orbit,4.2, 420 ,16%
DDTH00110,1/9/2010,TH00017,Female,25,Thailand,The Cozy Cottage,4.6, 291 ,8%
DDSG00111,1/9/2010,SG00023,Male,49,Singapore,Pod 51 Hotel,4.3, 198 ,6%
DDSG00112,1/9/2010,SG00024,Male,36,Singapore,Consulate Hotel,4.3, 125 ,16%
DDMY00113,1/9/2010,MY00024,Female,48,Malaysia,The Sebastian Vail,4.5, 214 ,2%
DDMY00114,1/9/2010,MY00025,Male,28,Malaysia,Blossomwell Resorts,4.5, 357 ,13%
DDMY00115,1/9/2010,MY00026,Male,36,Malaysia,Hotel Lemonade,4.4, 173 ,21%
DDTH00116,1/10/2010,TH00018,Male,49,Thailand,Heritage Inn,4.4, 213 ,13%
DDVN00117,1/10/2010,VN00008,Female,34,Vietnam,Sea Side Den,3.8, 93 ,2%
DDID00118,1/10/2010,ID00019,Male,29,Indonesia,Cape Grace,4.6, 333 ,12%
DDID00119,1/10/2010,ID00020,Male,55,Indonesia,Dream Desert Hotel,4.4, 223 ,4%
DDMY00120,1/10/2010,MY00027,Male,27,Malaysia,Slumber Inn,4.5, 357 ,16%
DDVN00121,1/10/2010,VN00009,Male,41,Vietnam,Sandy Bloom,3.3, 88 ,19%
DDSG00122,1/10/2010,SG00025,Male,38,Singapore,Aloft Chicago,4.2, 213 ,18%
DDSG00123,1/10/2010,SG00026,Male,35,Singapore,Marriott,4.6, 313 ,23%
DDKH00124,1/10/2010,KH00009,Female,58,Cambodia,Azure Expanse Hotel & Spa,4.6, 371 ,19%
DDID00125,1/10/2010,ID00021,Male,57,Indonesia,Always Available,3.3, 88 ,16%
DDSG00126,1/10/2010,SG00027,Female,31,Singapore,Hotel The Pie,4.5, 338 ,19%
DDKH00127,1/10/2010,KH00010,Male,34,Cambodia,Serene Stay,3.8, 93 ,9%
DDTH00128,1/10/2010,TH00019,Male,47,Thailand,Heritage Inn,4.2, 244 ,17%
DDKH00129,1/10/2010,KH00011,Male,42,Cambodia,Aman Resorts,4.2, 213 ,21%
DDSG00130,1/10/2010,SG00028,Female,34,Singapore,Inn Of Dreams,4.2, 244 ,23%
DDTH00131,1/10/2010,TH00020,Male,27,Thailand,Hotel Mastic Marvell,4.4, 251 ,1%
DDMY00132,1/11/2010,MY00028,Male,56,Malaysia,Feel At Home Team,4.2, 234 ,1%
DDMY00133,1/11/2010,MY00029,Male,25,Malaysia,Island Resort,4.6, 371 ,13%
DDTH00134,1/11/2010,TH00021,Female,56,Thailand,Secret Mirage,4.3, 162 ,23%
DDTH00135,1/11/2010,TH00022,Male,56,Thailand,Comfort B&B,4.2, 254 ,12%
DDKH00136,1/11/2010,KH00012,Female,52,Cambodia,Luxury Living,4.2, 146 ,19%
DDID00137,1/11/2010,ID00022,Male,32,Indonesia,Reefs Resort & Club,4.2, 312 ,12%
DDMY00138,1/11/2010,MY00030,Male,53,Malaysia,Ramada Hollywood,4.3, 155 ,0%
DDSG00139,1/11/2010,SG00029,Male,40,Singapore,Paradise Point Resort,4.6, 219 ,4%
DDMY00140,1/11/2010,MY00031,Male,35,Malaysia,Sun And Sand Hotel,4.6, 222 ,22%
DDPH00141,1/11/2010,PH00016,Female,40,Philippines,Shooting Star Motel,4.2, 98 ,7%
DDTH00142,1/11/2010,TH00023,Male,26,Thailand,Sapphire Shield Resort,4.6, 456 ,0%
DDTH00143,1/11/2010,TH00024,Female,34,Thailand,Shady Oaks B&B,4.2, 154 ,13%
DDPH00144,1/11/2010,PH00017,Male,32,Philippines,Aloft,4.2, 98 ,10%
DDTH00145,1/11/2010,TH00025,Female,35,Thailand,The Palazzo Resort,4.2, 312 ,1%
DDTH00146,1/11/2010,TH00026,Male,33,Thailand,Sizzling inn,4.3, 162 ,11%
DDID00147,1/11/2010,ID00023,Male,20,Indonesia,Backyard B&B,4.6, 371 ,9%
DDSG00148,1/12/2010,SG00030,Male,58,Singapore,Treebones Resort,4.5, 214 ,9%
DDSG00149,1/12/2010,SG00031,Male,39,Singapore,Family Ties,4.1, 131 ,16%
DDSG00150,1/12/2010,SG00032,Male,26,Singapore,The Oasis Motels,4.2, 146 ,22%
DDPH00151,1/12/2010,PH00018,Male,40,Philippines,Paradise Point Resort,4.1, 133 ,15%
DDTH00152,1/12/2010,TH00027,Female,31,Thailand,Millennium Times Square,4.1, 162 ,22%
DDTH00153,1/12/2010,TH00028,Male,24,Thailand,Hotel Elite,4.5, 136 ,1%
DDMY00154,1/13/2010,MY00032,Male,40,Malaysia,Jade Bay Resort,4.5, 338 ,17%
DDVN00155,1/13/2010,VN00010,Female,58,Vietnam,Cute Mountains,4.2, 213 ,10%
DDID00156,1/13/2010,ID00024,Male,22,Indonesia,The White Rock Hotel,4.2, 430 ,17%
DDTH00157,1/13/2010,TH00029,Female,40,Thailand,Summer Haven,3.3, 88 ,14%
DDSG00158,1/13/2010,SG00033,Male,34,Singapore,Fortune House Hotel,4.1, 133 ,24%
DDKH00159,1/13/2010,KH00013,Female,20,Cambodia,El Dorado Hotels,3.8, 99 ,13%
DDTH00160,1/13/2010,TH00030,Male,34,Thailand,Ace Hotel,4.1, 132 ,10%
DDSG00161,1/13/2010,SG00034,Female,43,Singapore,The Nines,4.5, 253 ,16%
DDTH00162,1/13/2010,TH00031,Female,32,Thailand,Big Dreams,4.6, 333 ,20%
DDPH00163,1/13/2010,PH00019,Female,31,Philippines,Discount Motel,4.6, 291 ,24%
DDKH00164,1/13/2010,KH00014,Female,43,Cambodia,Hotel Barry Love,4.2, 312 ,0%
DDMY00165,1/13/2010,MY00033,Male,31,Malaysia,Always Available,4.2, 312 ,15%
DDMY00166,1/14/2010,MY00034,Male,41,Malaysia,Happy Times Hotel,4.4, 213 ,4%
DDKH00167,1/14/2010,KH00015,Female,51,Cambodia,Cosmos Isle Motel,4.5, 151 ,18%
DDPH00168,1/14/2010,PH00020,Male,33,Philippines,Grand Heirloom Resort & Spa,4.6, 291 ,10%
DDVN00169,1/14/2010,VN00011,Female,28,Vietnam,Red Velvet Hotel,4.1, 162 ,15%
DDSG00170,1/14/2010,SG00035,Female,50,Singapore,Soft Plains,4.3, 155 ,0%
DDTH00171,1/14/2010,TH00032,Male,23,Thailand,Four Seasons Resort,4.2, 98 ,12%
DDPH00172,1/14/2010,PH00021,Male,58,Philippines,Luxury Living,4.6, 313 ,2%
DDKH00173,1/14/2010,KH00016,Male,29,Cambodia,Beachfront Hotels,4.5, 338 ,17%
DDTH00174,1/14/2010,TH00033,Female,22,Thailand,Fountainhead Reserve,4.6, 222 ,10%
DDMY00175,1/14/2010,MY00035,Male,31,Malaysia,The Lowell,4.1, 132 ,19%
DDTH00176,1/14/2010,TH00034,Female,45,Thailand,Queen’s Castle Hotel,3.8, 98 ,3%
DDKH00177,1/14/2010,KH00017,Female,37,Cambodia,Sunny Canopy,4.3, 155 ,16%
DDTH00178,1/14/2010,TH00035,Female,28,Thailand,The Maxwell,4.5, 338 ,21%
DDSG00179,1/14/2010,SG00036,Female,55,Singapore,Kings Inn,4.2, 430 ,12%
DDKH00180,1/14/2010,KH00018,Male,27,Cambodia,Rose Thicket Resort,4.2, 213 ,10%
DDTH00181,1/14/2010,TH00036,Female,52,Thailand,Darling Bed And Breakfast,4.5, 253 ,14%
DDSG00182,1/14/2010,SG00037,Male,36,Singapore,The White sands,4.2, 312 ,2%
DDVN00183,1/14/2010,VN00012,Male,32,Vietnam,Cape Grace,4.6, 371 ,5%
DDTH00184,1/15/2010,TH00037,Female,28,Thailand,Sunset Plains,4.3, 152 ,13%
DDPH00185,1/15/2010,PH00022,Male,32,Philippines,Happy Home B&B,4.6, 303 ,0%
DDVN00186,1/15/2010,VN00013,Male,41,Vietnam,Joy Hunch Inn,4.2, 234 ,19%
DDID00187,1/15/2010,ID00025,Female,50,Indonesia,Welcome Stay,4.4, 173 ,5%
DDSG00188,1/15/2010,SG00038,Female,19,Singapore,Hotel Fusion,4.2, 312 ,11%
DDKH00189,1/15/2010,KH00019,Female,48,Cambodia,Secluded Hill,4.2, 312 ,11%
DDKH00190,1/15/2010,KH00020,Male,38,Cambodia,Amuser Suites,4.4, 173 ,18%
DDMY00191,1/15/2010,MY00036,Male,21,Malaysia,Lustrio Inn,4.5, 136 ,6%
DDTH00192,1/15/2010,TH00038,Male,31,Thailand,Slumber Falls,4.3, 158 ,5%
DDTH00193,1/15/2010,TH00039,Female,47,Thailand,Peninsula,3.8, 93 ,20%
DDSG00194,1/15/2010,SG00039,Female,51,Singapore,Welcome Stay,4.6, 291 ,24%
DDSG00195,1/15/2010,SG00040,Male,22,Singapore,Hotel Grizzly,4.4, 223 ,24%
DDMY00196,1/15/2010,MY00037,Female,27,Malaysia,Signature San Francisco,4.5, 161 ,17%
DDSG00197,1/15/2010,SG00041,Male,23,Singapore,Hotel Da Viva,4.5, 329 ,19%
DDVN00198,1/15/2010,VN00014,Male,32,Vietnam,Breeze Blows Motel,4.1, 131 ,3%
DDSG00199,1/15/2010,SG00042,Female,25,Singapore,Ace Hotel,4.4, 97 ,19%
DDSG00200,1/16/2010,SG00043,Female,35,Singapore,South Shore Resort,4.3, 233 ,23%
DDSG00201,1/16/2010,SG00044,Male,24,Singapore,Able Day Hotel,3.3, 78 ,23%
DDID00202,1/16/2010,ID00026,Male,56,Indonesia,Wonder Hill Inn,4.3, 243 ,25%
DDTH00203,1/16/2010,TH00040,Female,49,Thailand,Hotel Mastic Marvell,4.6, 222 ,18%
DDMY00204,1/16/2010,MY00038,Male,53,Malaysia,Cabrillo Inn & Suites,4.3, 198 ,24%
DDTH00205,1/16/2010,TH00041,Female,21,Thailand,Spotlight Motel,4.2, 98 ,3%
DDID00206,1/16/2010,ID00027,Male,25,Indonesia,Pacifica Hotel,4.4, 223 ,7%
DDPH00207,1/16/2010,PH00023,Female,48,Philippines,Sea Horizon,3.9, 116 ,22%
DDID00208,1/16/2010,ID00028,Male,56,Indonesia,Belmond Hotel Splendido,4.3, 158 ,6%
DDMY00209,1/16/2010,MY00039,Female,34,Malaysia,Hotel Joy Stick,4.4, 291 ,1%
DDPH00210,1/16/2010,PH00024,Male,32,Philippines,Paramount Hotel,4.4, 291 ,19%
DDMY00211,1/16/2010,MY00040,Male,21,Malaysia,Residence Inn,4.4, 291 ,10%
DDSG00212,1/16/2010,SG00045,Male,45,Singapore,Blossomwell Resorts,4.4, 173 ,1%
DDMY00213,1/16/2010,MY00041,Female,33,Malaysia,Rooftop Resort,4.5, 161 ,14%
DDMY00214,1/16/2010,MY00042,Male,55,Malaysia,Primal Vista Motel,4.3, 162 ,23%
DDSG00215,1/16/2010,SG00046,Female,49,Singapore,Ett Hem,4.1, 132 ,24%
DDMY00216,1/16/2010,MY00043,Female,35,Malaysia,Orchard Harvest B&B,3.8, 93 ,21%
DDKH00217,1/16/2010,KH00021,Male,37,Cambodia,Hotel Barry Love,4.4, 251 ,7%
DDSG00218,1/17/2010,SG00047,Female,35,Singapore,Hilton Garden Inn,4.4, 163 ,3%
DDTH00219,1/17/2010,TH00042,Male,55,Thailand,Grantham Inn,4.4, 97 ,15%
DDMY00220,1/17/2010,MY00044,Male,46,Malaysia,The Worldly Traveler,4.1, 132 ,14%
DDTH00221,1/17/2010,TH00043,Female,26,Thailand,Eagles Watch Resort,4.7, 309 ,1%
DDTH00222,1/17/2010,TH00044,Female,44,Thailand,Utopia Inn,4.2, 154 ,15%
DDMY00223,1/17/2010,MY00045,Female,45,Malaysia,Land’s End Resort,4.1, 133 ,16%
DDID00224,1/17/2010,ID00029,Female,52,Indonesia,Coast Hotels,4.2, 430 ,7%
DDMY00225,1/17/2010,MY00046,Female,53,Malaysia,Parker New York,4.6, 222 ,6%
DDTH00226,1/17/2010,TH00045,Female,40,Thailand,Breeze Blows Motel,4.6, 371 ,14%
DDKH00227,1/17/2010,KH00022,Female,23,Cambodia,Blossomwell Resort,4.4, 161 ,24%
DDTH00228,1/17/2010,TH00046,Male,40,Thailand,The Sunshine Motel,4.1, 162 ,9%
DDPH00229,1/17/2010,PH00025,Male,50,Philippines,Canopy,4.2, 213 ,2%
DDTH00230,1/17/2010,TH00047,Female,50,Thailand,Little America Hotels,4.2, 430 ,23%
DDSG00231,1/17/2010,SG00048,Male,44,Singapore,Four Seasons,4.6, 291 ,14%
DDMY00232,1/17/2010,MY00047,Female,58,Malaysia,Hotel Agoura,4.1, 133 ,22%
DDSG00233,1/17/2010,SG00049,Female,22,Singapore,The Harbor Hotel,4.6, 313 ,4%
DDID00234,1/17/2010,ID00030,Male,50,Indonesia,Stewart Hotel New York,4.5, 136 ,24%
DDMY00235,1/18/2010,MY00048,Female,22,Malaysia,Residence Inn,4.1, 121 ,23%
DDID00236,1/18/2010,ID00031,Male,24,Indonesia,Reefs Resort & Club,4.7, 309 ,7%
DDTH00237,1/18/2010,TH00048,Female,44,Thailand,Everland Wish,4.5, 329 ,18%
DDKH00238,1/18/2010,KH00023,Male,52,Cambodia,Rancho Valencia Resort & Spa,4.3, 142 ,22%
DDVN00239,1/18/2010,VN00015,Female,41,Vietnam,Eagles Watch Resort,4.2, 154 ,22%
DDTH00240,1/18/2010,TH00049,Female,38,Thailand,Rise And Shine Bed And Breakfast,4.2, 254 ,6%
DDTH00241,1/18/2010,TH00050,Male,19,Thailand,The Emperor’s Villa,3.9, 116 ,24%
DDKH00242,1/18/2010,KH00024,Female,55,Cambodia,Jupiter Guests,4.5, 338 ,13%
DDSG00243,1/18/2010,SG00050,Female,28,Singapore,Hotel Rose,4.1, 133 ,17%
DDVN00244,1/18/2010,VN00016,Male,50,Vietnam,Comfort B&B,4.2, 312 ,20%
DDMY00245,1/18/2010,MY00049,Male,49,Malaysia,SIXTY SoHo,4.2, 254 ,6%
DDSG00246,1/18/2010,SG00051,Male,55,Singapore,Star of Africa B&B,4.2, 165 ,25%
DDID00247,1/18/2010,ID00032,Female,55,Indonesia,Heritage Inn,4.4, 161 ,4%
DDMY00248,1/18/2010,MY00050,Male,28,Malaysia,Happy Mornings Motel,4.2, 213 ,9%
DDKH00249,1/18/2010,KH00025,Male,49,Cambodia,Blue Fantasy Inns,4.5, 253 ,6%
